[2017-06-19 22:11:10,159] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:10,159] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:11,096] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (12, 58).
[2017-06-19 22:11:11,096] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (12, 58).
[2017-06-19 22:11:11,171] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:11,171] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:12,021] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (14, 12).
[2017-06-19 22:11:12,021] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (14, 12).
[2017-06-19 22:11:12,703] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:12,703] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:12,852] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (14, 11).
[2017-06-19 22:11:12,852] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (14, 11).
[2017-06-19 22:11:13,041] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:13,041] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:17,031] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (14, 31).
[2017-06-19 22:11:17,031] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (14, 31).
[2017-06-19 22:11:17,557] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:17,557] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:18,187] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (12, 31).
[2017-06-19 22:11:18,187] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (12, 31).
[2017-06-19 22:11:18,562] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:18,562] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:19,111] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (12, 50).
[2017-06-19 22:11:19,111] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (12, 50).
[2017-06-19 22:11:19,338] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:19,338] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:19,889] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (11, 22).
[2017-06-19 22:11:19,889] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (11, 22).
[2017-06-19 22:11:19,976] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:19,976] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:20,126] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (12, 22).
[2017-06-19 22:11:20,126] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (12, 22).
[2017-06-19 22:11:20,825] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:20,825] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:21,872] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (12, 63).
[2017-06-19 22:11:21,872] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (12, 63).
[2017-06-19 22:11:22,482] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:22,482] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:23,332] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (11, 9).
[2017-06-19 22:11:23,332] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (11, 9).
[2017-06-19 22:11:23,646] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:23,646] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:30,677] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (17, 12).
[2017-06-19 22:11:30,677] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (17, 12).
[2017-06-19 22:11:31,135] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:31,135] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:36,708] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (17, 10).
[2017-06-19 22:11:36,708] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (17, 10).
[2017-06-19 22:11:36,854] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:36,854] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:37,204] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (17, 24).
[2017-06-19 22:11:37,204] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (17, 24).
[2017-06-19 22:11:37,485] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:37,485] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:43,092] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (17, 23).
[2017-06-19 22:11:43,092] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (17, 23).
[2017-06-19 22:11:43,434] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:43,434] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:43,584] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (17, 23).
[2017-06-19 22:11:43,584] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (17, 23).
[2017-06-19 22:11:44,970] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:44,970] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:45,421] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (18, 53).
[2017-06-19 22:11:45,421] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (18, 53).
[2017-06-19 22:11:45,471] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:45,471] ERROR langserver.core.Connection - No notification type exists with method=$/cancelRequest
[2017-06-19 22:11:46,521] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (19, 5).
[2017-06-19 22:11:46,521] INFO org.github.dragos.vscode.EnsimeLanguageServer - Got hover request at (19, 5).
